Title,Authors,Venue,Abstract
SpaceRefNet: a neural approach to spatial reference resolution in a real city environment,Dmytro Kalpakchi and Johan Boye,,"Adding interactive capabilities to pedestrian wayfinding systems in the form of spoken dialogue will make them more natural to humans. Such an interactive wayfinding system needs to continuously understand and interpret pedestrian’s utterances referring to the spatial context. Achieving this requires the system to identify exophoric referring expressions in the utterances, and link these expressions to the geographic entities in the vicinity. This exophoric spatial reference resolution problem is difficult, as there are often several dozens of candidate referents. We present a neural network-based approach for identifying pedestrian’s references (using a network called RefNet) and resolving them to appropriate geographic objects (using a network called SpaceRefNet). Both methods show promising results beating the respective baselines and earlier reported results in the literature."
EMBRACE: evaluation and modifications for boosting RACE,Mariia Zyrianova and Dmytro Kalpakchi and Johan Boye,arXiv preprint arXiv:2305.08433,"When training and evaluating machine reading comprehension models, it is very important to work with high-quality datasets that are also representative of real-world reading comprehension tasks. This requirement includes, for instance, having questions that are based on texts of different genres and require generating inferences or reflecting on the reading material. In this article we turn our attention to RACE, a dataset of English texts and corresponding multiple-choice questions (MCQs). Each MCQ consists of a question and four alternatives (of which one is the correct answer). RACE was constructed by Chinese teachers of English for human reading comprehension and is widely used as training material for machine reading comprehension models. By construction, RACE should satisfy the aforementioned quality requirements and the purpose of this article is to check whether they are indeed satisfied. We provide a detailed analysis of the test set of RACE for high-school students (1045 texts and 3498 corresponding MCQs) including (1) an evaluation of the difficulty of each MCQ and (2) annotations for the relevant pieces of the texts (called ""bases"") that are used to justify the plausibility of each alternative. A considerable number of MCQs appear not to fulfill basic requirements for this type of reading comprehension tasks, so we additionally identify the high-quality subset of the evaluated RACE corpus. We also demonstrate that the distribution of the positions of the bases for the alternatives is biased towards certain parts of texts, which is not necessarily desirable when evaluating MCQ answering and generation models."
Minor changes make a difference: a case study on the consistency of UD-based dependency parsers,Dmytro Kalpakchi and Johan Boye,,"Many downstream applications are using dependency trees, and are thus relying on dependency parsers producing correct, or at least consistent, output. However, dependency parsers are trained using machine learning, and are therefore susceptible to unwanted inconsistencies due to biases in the training data. This paper explores the effects of such biases in four languages–English, Swedish, Russian, and Ukrainian–though an experiment where we study the effect of replacing numerals in sentences. We show that such seemingly insignificant changes in the input can cause large differences in the output, and suggest that data augmentation can remedy the problems."
The spacebook project: Pedestrian exploration of the city using dialogue based interaction over smartphones,William Mackaness and Johan Boye and Stephen Clark and Morgan Fredriksson and Hector Geffner and Oliver Lemon and Michael Minock and Bonnie Webber,,
Standards in home automation and language processing,Johan Boye and Staffan Larsson and Ian Lewin and Colin Matheson and James Thomas and Johan Bos,,"The widely expected growth in pervasive computing will require standards in device communications. Not only will existing devices be expected to have some on-board “intelligence” but they must be able to interact and share resources with other existing devices and any future devices across a local network. This document focuses on the types of standards which would be applicable to home automation (ie to the interaction of telephones, PDA, printer, video recorder and so on) as well as, following the objectives of D’HOMME, standards for implementing natural language interfaces to these devices.The advantages of the distribution of computational resources have been established in the wider computational field, but they are equally relevant, if not more so, in a scenario where connected devices may have limited in-built processing power and memory, eg in the field of home automation. For instance:"
Knowledge and Action Management in the Home Device Environment,J Gabriel Amores and Alexander Berman and Johan Bos and Johan Boye and Robin Cooper and Stina Ericsson and Alexander Holt and Staffan Larsson and David Milward and José F Quesada,,"In this deliverable we present three approaches to knowledge and action management in the D’homme domain and some discussion of concrete issues arising from trying to construct a concrete plug and play system. We consider both strong and weak plug and play. Strong plug and play (as described in detail in D3. 1) allows completely new devices to be added to a network, with automatic updating of the dialogue manager, recogniser etc. Weak plug and play enables new devices to be added provided the dialogue manager already knows about the type of device.In chapter 2 we take an approach to knowledge and action management which is based on keeping track of issues under discussion. Here the standard kind of menu interfaces which are used in order to manage knowledge about devices and give them instructions to carry out actions are reconstructed in terms of questions and answers which enable a …"
Logic programs with external procedures,Jan Małuszyński and Staffan Bonnier and Johan Boye and Feliks Kluźniak and Andreas Kågedal and Ulf Nilsson,,"Logic programs with external procedures | Logic programming languages skip to main content ACM Digital Library home ACM Association for Computing Machinery corporate logo Premium Edition acm open access logo FELD M GmbH Sign in Register Advanced Search Journals Magazines Proceedings Books SIGs Conferences Institutions People More SearchSearch Search ACM Digital Library SearchSearch Advanced Search Browse Browse Digital Library Collections More Export Citations Select Citation format Please download or close your previous search result export first before starting a new bulk export. Preview is not available. By clicking download,a status dialog will open to start the export process. The process may takea few minutes but once it finishes a file will be downloadable from your browser. You may continue to browse the DL while the export process is in progress. Download citation Copy …"
Reference resolution for pedestrian wayfinding systems,Jana Götze and Johan Boye,,"References to objects in our physical environment are common especially in language about wayfinding. Advanced wayfinding systems that interact with the pedestrian by means of (spoken) natural language therefore need to be able to resolve references given by pedestrians (i.e. understand what entity the pedestrian is referring to). The contribution of this paper is a probabilistic approach to reference resolution in a large-scale, real city environment, where the context changes constantly as the pedestrians are moving. The geographic situation, including information about objects’ location and type, is represented using OpenStreetMap data."
Summary of spacebook project results,Michael Minock and Johan Boye and Stephen Clark and Morgan Fredriksson and Hector Geffner and Oliver Lemon and William Mackaness and Bonnie Webber,,
"A D’Homme demonstrator in English, Swedish and Spanish",David Milward and James Thomas and Gabriel Amores and J Boye and R Cooper and S Ericsson and G Gorrell and D Hjelm and A Holt and S Knight and S Larsson and I Lewin and JF Quesada,Deliverable D4,"This deliverable describes the implementations which have been constructed by each site (and across sites) according to the agreed D’Homme system architecture. Given the short timescale of the project, and the sophistication of exiting dialogue systems at the partner sites, it was felt impractical to build a single demonstrator. Interface definitions alone could have taken up much of the 12 months. Instead each site has concentrated on particular aspects of the problem of home device control. Sharing of ideas and code has been encouraged by adopting a common functional architecture, and by providing descriptions of the existing interfaces for individual modules. This has resulted in several ‘combination’systems using a mix of modules from different partner sites.The D’Homme demonstrators show very successfully how we can use spoken commands in English, Spanish or Swedish to conveniently interact with …"
Rewriting systems,Johan Boye and J MAŁUSZY NSKI and U Nilsson,,"The intention of these notes is to give a uniform perspective of some major rewriting formalisms relevant for computing. The rst version of the notes has been edited by Johan Boye in the nineties, and they have been subject of substantial revision since then.A widely adopted view of a computation as a sequence of state transitions becomes a rewriting view if the states are represented as expressions in some language, and possible state transitions are represented as rewrite rules. The concepts and the formalisms presented in these notes have played an important role in development of programming languages. While some comments on the practical relevance are scattered in the text, the focus is on a uniform presentation of various formalisms stressing the relations between them. The objective is to give a general introduction to rewriting techniques. Therefore the presentation of each of the formalisms discussed here is restricted to selected basic concepts. For in-deep studies of particular formalisms the reader is referred to the rich literature on rewriting. The bibliography provides some hints."
Generation and evaluation of multiple-choice reading comprehension questions for Swedish,Dmytro Kalpakchi and Johan Boye,Northern European Journal of Language Technology,"Multiple-choice questions (MCQs) provide a widely used means of assessing reading comprehension. The automatic generation of such MCQs is a challenging language-technological problem that also has interesting educational applications. This article presents several methods for automatically producing reading comprehension questions MCQs from Swedish text. Unlike previous approaches, we construct models to generate the whole MCQ in one go, rather than using a pipeline architecture. Furthermore, we propose a two-stage method for evaluating the quality of the generated MCQs, first evaluating on carefully designed single-sentence texts, and then on texts from the SFI national exams. An extensive evaluation of the MCQ-generating capabilities of 12 different models, using this two-stage scheme, reveals that GPT-based models surpass smaller models that have been fine-tuned using small-scale datasets on this specific problem."
Automatically generating question-answer pairs for assessing basic reading comprehension in Swedish,Dmytro Kalpakchi and Johan Boye,arXiv preprint arXiv:2211.15568,"This paper presents an evaluation of the quality of automatically generated reading comprehension questions from Swedish text, using the Quinductor method. This method is a light-weight, data-driven but non-neural method for automatic question generation (QG). The evaluation shows that Quinductor is a viable QG method that can provide a strong baseline for neural-network-based QG methods."
A demonstration of a naturallanguage pedestrian routing system,Johan Boye and Morgan Fredriksson and Jana Gtze and Jrgen Knigsmann,"Proceedings of the 5th international workshop on spoken dialogue systems (IWSDS), Napa, USA","This demonstration highlights some features of a dialogue system for pedestrian routing (Boye et al. 2012) that uses natural-language routing instructions to help pedestrians navigate and explore the city in real-time. The instructions are given as the user is moving: When the user reaches a node pi in the planned route, he is informed how to reach the next node pi+ 1. The user can ask for (more) instructions if he is unsure where to go next, and reply to the system’s questions (by “yes” or “no”). The system keeps track of the user’s position by GPS relayed from the user’s smartphone. Obviously, it is increasingly interesting to create and study such applications as more and more people have smartphones equipped with a GPS receiver.In order to make the system scalable and transferrable across cities, the system uses only open, crowd-sourced geographical data from OpenStreetMap (Haklay 2008). Such data is admittedly more error-prone and not as consistently organised compared to data released from a governmental surveying organization, but on the other hand, national surveying data tends to be expensive, hard to access, and vary in format from nation to nation. Moreover, the possibility to port the system to different cities is important from a research point of view. Different cities have different characteristics (narrow streets or big boulevards, a grid-like structure or a medieval city plan, etc), and these features will influence the success of different system strategies for producing route instructions. A key problem for routing systems is the generation of natural language references to objects in the city. Such references form the link between the …"
Plug and play spoken dialogue processing,Manny Rayner and Johan Boye and Ian Lewin and Genevieve Gorrell,,Plug and Play is an increasingly important concept in system and network architectures. We introduce and describe a spoken language dialogue system architecture which supports Plug and Playable networks of objects in its domain. Each device in the network carries the linguistic and dialogue management information which is pertinent to it and uploads it dynamically to the relevant language processing components in the spoken language interface. We describe the current state of our plug and play demonstrator and discuss theoretical issues that arise from our work.
Turn left vs. walk towards the cafe: when relative directions work better than landmarks,G Gotze and Johan Boye,"AGILE 2015: Geographic Information Science as an Enabler of Smarter Cities and Communities, Lisboan, Portugal","An automatic mechanism that gives verbal navigation instructions to pedestrians in situ needs to take into account a number of factors. Besides giving the instruction at the right time and place, the information needs to be as unambiguous as possible for the user to both choose the correct path and be confident in doing so. Humans make extensive use of landmarks when describing the way to others and are more successful following instructions that include landmarks. We present a study comparing landmark-based instructions with relative direction instructions on pedestrians in a real city environment, measuring both objective and subjective success. We find that at some decision points, relative direction instructions work better. We present a method that uses openly available geographic data to predict which kind of instruction is preferable at a given decision point."
Nested Noun Phrase Identification using BERT,Shweta Misra and Johan Boye,,"For several NLP tasks, an important substep is the identification of noun phrases in running text. This has typically been done by “chunking”–a way of finding minimal noun phrases by token classification. However, chunking-like methods do not represent the fact that noun phrases can be nested. This paper presents a novel method of finding all noun phrases in a sentence, nested to an arbitrary depth, using the BERT model for token classification. We show that our proposed method achieves very good results for both Swedish and English."
Wayfinding Systems,Jana Götze and Johan Boye,Societal Geo-innovation: Selected papers of the 20th AGILE conference on Geographic Information Science,"References to objects in our physical environment are common especially in language about wayfinding. Advanced wayfinding systems that interact with the pedestrian by means of (spoken) natural language therefore need to be able to resolve references given by pedestrians (ie understand what entity the pedestrian is refer-ring to). The contribution of this paper is a probabilistic approach to reference reso-lution in a large-scale, real city environment, where the context changes constantly as the pedestrians are moving. The geographic situation, including information about objects' location and type, is represented using OpenStreetMap data."
The SpaceRef corpus Documentation,Jana Götze and Johan Boye,,"This documentation describes the SpaceRef data that can be downloaded from http://www. csc. kth. se/~ jagoetze/data/spaceref.The data contains transcriptions, annotations, and gps coordinates from a Wizard-of-Oz study in which 11 pedestrians walk along a route and describe their actions to the wizard via a speech-only interface. Pedestrians are wearing a headset and carry a smartphone in their pocket. The data was collected in February and March 2013 in Stockholm, Sweden."
Using a Spoken Dialogue System for Crowdsourcing Street-level Geographic Information,Raveesh Meena and Johan Boye and Gabriel Skantze and Joakim Gustafson,,"We present a novel scheme for enriching geographic database with street-level geographic information that could be useful for pedestrian navigation. A spoken dialogue system for crowdsourcing street-level geographic details was developed and tested in an in-lab experimentation, and has shown promising results."
D5. 2.2: Final city search SpaceBook prototype,Morgan Fredriksson and Jugen Königsmann and Phil Bartie and Johan Boye and Tiphaine Dalmas and Jana Götze and Johan Mollevik and Srini Janarthanam and Oliver Lemon and Xingkun Liu and Michael Minock,,
Interpreting instructions in a pedestrian routing domain,Jana Götze and Johan Boye and Morgan Fredriksson and Jürgen Königsmann,SEMDIAL 2013 DialDam,"Simulated users are important vehicles for testing, development and evaluation of dialogue systems. We describe an implementation of simulated users that can interact with a dialogue system for pedestrian routing and exploration via written natural language. To emulate real user behaviour, such simulated pedestrians need to have a representation of a user’s goals, the past dialogue history, the geographic context, as well as capabilities for generating realistic movement patterns, and for contextually interpretating route instructions. The dialogue system, described in (Boye et al. 2012) and henceforth called R, uses data from the OpenStreetMap (OSM) geographic database (Haklay, 2008) to construct a route from the user’s starting position to his goal, and then give instructions as the user is moving. A key problem for the simulated user is to interpret such instructions and to resolve the references to objects in the city. Such references form the link between the algebraic and geometric model of the domain, and the communication with the user. For the simulated user it is crucial to correctly interpret instructions like “Turn left onto King’s Street.”, or questions like “Can you see the statue?” to be able to follow them. In order to interpret questions like the latter, it is also important to have access to information on visibility. In our simulation, visibility is checked on the basis of the OSM database, by continuously calculating whether the line of sight between the user’s position and the surrounding objects is intersected by another object such as a building."
D5. 3.2 Final simulated users,Morgan Fredriksson and Jürgen Königsmann and Johan Boye,,"This report describes the implemented simulated users for the Spacebook domain. These simulated users are capable of simulating movement in any city covered by OpenStreetMap, to understand natural language route instructions, to ask for information, and to pursue both long-term and short-term goals."
D2. 3.2: Final Pedestrian Behaviour Component,Alexandre Albore and Johan Boye and Morgan Fredriksson and Jana Gotze and Joakim Gustafson and Jurgen Konigsmann,,"This deliverable describes user studies performed in order to shed more light on the cognitive modeling aspects of Spacebook, as well as describes implemented software, namely reference resolution used by simulated pedestrians, and an integrated AI planning and execution environment for cognitive modeling and dialogue management."
D7. 2.1: Initial description of results and plans for dissemination,Michael Minock and Johan Boye and Stephen Clark and Morgan Fredriksson and Hector Geffner and Oliver Lemon and William Mackaness and Bonnie Webber,,"This document is a report on the Dissemination and Use Plan for the initial SPACEBOOK project results, at month 21 (of 36) of the project. The SPACEBOOK Dissemination Plan is set up to provide strategy for the communication of the project’s achievements to the public and to give an overview of all publications of the project.In the SPACEBOOK project we have developed a speech-driven, hands-free, eyes-free device for pedestrian navigation and exploration which we have evaluated through controlled task-based experiments with real pedestrians in central Edinburgh. By way of the various dissemination activities carried out by the SPACEBOOK consortium, our objective is to present the solutions developed through our research, possible applications of our research results, and their impact on the everyday life of European citizens."
Initial description of results and plans for dissemination,Michael Minock and Johan Boye and Stephen Clark and Morgan Fredriksson and Hector Geffner and Oliver Lemon and William Mackaness and Bonnie Webber,,
Fyra-i-rad med förstärkt inlärning,Kungliga Tekniska Högskolan CSC and Christoffer Janson and Carl Landefjord and Johan Boye,,Machine learning is an umbrella term for certain types of learning algorithms in artificial intelligence. The purpose of machine learning is to make programs learn to performe tasks in accordance to certain given conditions. Reinforced learning is an area within machine learning which is all about making the program learn what is a good action by being rewarded.One algorithm based on reinforcement learning is the Q-learning algorithm. It uses a table containing values for each state it has encountered. The table is updated with new values when new rewards are awarded by actions it has performed in the environment. This report describes how Q-learning can be implemented an how our implemention behaves against three different adversaries.
Base Dialogue model structure based on state-of-the-art,Johan Boye and Hugo Pinto and Roberta Catizone and Yorick Wilks and Genevieve Gorrell and Mats Wirén,,"The document discusses the base Dialogue Model in the Companions project taking into consideration state-of-the-art research and work developed in earlier partner dialogue systems. This report contains work done by two partners whose contributions are presented separately, but it is intended that this work will merge in future versions of the demonstrators. We discuss the key components that make up the dialogue model in detail and propose the Companions model based on the particular requirements of our system. Our discussion includes comparison of our dialogue model and components with other leading dialogue systems and aims to justify our design decisions. Our system is designed to be general and extendable to accommodate the essential multi-modal dialogue research that is planned over the next 3 years in the Companions project."
Natural Interactive Communication for Edutainment,Johan Boye and Joakim Gustafson and Mats Wirén,,"This deliverable outlines the methods used for dialogue management and response generation for the second fairy-tale-world prototype. The scenario of the second fairy-tale prototype is described in deliverable D1. 2b, Section 2.The term dialogue management appears frequently in the literature on spoken-dialogue systems, although there does not seem to be any commonly accepted definition of what it really is. In the following, we will adhere to the definition of Traum and Larsson (2003), who consider dialogue management to comprise the following functions within a spoken-dialogue system:"
Natural Interactive Communication for Edutainment,Joakim Gustafson and Johan Boye and Linda Bell and Mats Wirén and Jean-Claude Martin and Stéphanie Buisine and Sarkis Abrilian,,"This report describes how the fairy-tale characters’ multimodal output is generated in the Nice fairy-tale game. The report is closely related to D4. 2, where all possible animations and operations in the Animation Rendition system are described, along with a description of its XML interface. This report refers to Section 2 in Deliverable D1. 2-b for the game scenario and its implications for multimodal output. The report is also naturally coupled to deliverable D5. 2-b, which describes the dialogue manager for the fairy-tale characters."
Natural Interactive Communication for Edutainment NICE Deliverable D3. 3 Analysis and specification of cooperation between input modalities and cooperation,Jean-Claude Martin and Niels Ole Bernsen and Reinhard Blasig and Johan Boye and Stéphanie Buisine and Laila Dybkjær and Morgan Fredriksson and Michel Généreux and Joakim Gustafson and Ulrik Lindahl and Manish Mehta,,This deliverable is a progress report that aims at providing descriptions and informal specification of cooperations between input modalities (multimodal behavior that we might expect from the users) and cooperations between output modalities (multimodal behavior that could be included in the virtual characters). It also describes the architecture that we propose to develop for the NICE system in order to enable such input and output multimodality.
Directional types for logic programs and the annotation method,Johan Boye and Jan Maluszynski,,"A {\em directional type\/} for a Prolog program expresses certain properties of the operational semantics of the program. This paper shows that the annotation proof method, proposed by Deransart for proving declarative properties of logic programs, is also applicable for proving correctness of directional types. In particular, the sufficient correctness criterion of {\em well-typedness\/} by Bronsard et al, turns out to be a specialization of the annotation method. The comparison shows a general mechanism for construction of similar specializations, which is applied to derive yet another concept of well-typedness. The usefulness of the new correctness criterion is shown on examples of Prolog programs, where the traditional notion of well-typedness is not applicable. We further show that the new well-typing condition can be applied to different execution models. This is illustrated by an example of an execution model where unification is controlled by directional types, and where our new well-typing condition is applied to show the absence of deadlock."
Spatial grounding for city exploration,Johan Boye,,"Recently there has been an interest in spatially aware systems for pedestrian routing and city exploration, due to the proliferation of smartphones with GPS receivers among the general public. Since GPS readings are noisy, giving good and well-timed route instructions to pedestrians is a challenging problem. In this talk, I will discuss a spoken dialogue prototype for pedestrian navigation in Stockholm that tries to address this problem by using various grounding strategies."
LANGUAGE PROCESSING FOR SPOKEN DIALOGUE SYSTEMS: IS SHALLOW PARSING ENOUGH?,Ian Lewin Ralph Becket and Johan Boye and David Carter Manny Rayner and Mats Wirén,,"With maturing speech technology, spoken dialogue systems are increasingly moving from research prototypes to fielded systems. The fielded systems however generally employ much simpler linguistic and dialogue processing strategies than the research prototypes. We describe an implemented spoken-language dialogue system for a travel planning domain which supports a mixed initiative dialogue strategy. The system accesses a commercially available travel information web-server. The system architecture combines both shallow and deep linguistic processors, partly so that a robust if shallow analysis is always available to the dialogue manager, and partly so that we can begin to examine where significant gains can be made by employing more advanced linguistic processing. We present the results of a preliminary investigation using data from a Wizard of Oz experiment. The results lend limited support to our original hypothesis that deep linguistic processing will prove useful at points where the user takes the initiative in driving the dialogue forward."
Plug and Play Speech Understanding,Johan Boye and Manny Rayner and Ian Lewin and Genevieve Gorrell,,Plug and Play is an increasingly important concept in system and network architectures. We introduce and describe a spoken language dialogue system architecture which supports Plug and Playable networks of objects in its domain. Each device in the network carries the linguistic and dialogue management information which is pertinent to it and uploads it dynamically to the relevant language processing components in the spoken language interface. We describe the current state of our plug and play demonstrator and discuss theoretical issues that arise from our work. Plug and Play forms a central topic for the DHomme project.
Do CFG-Based Language Models Need Agreement Constraints?,Wellington House and East Rd,,"Many people are now routinely building grammar-based language models for interactive spoken language applications; these language models are typically ad hoc semantic grammars which ignore many standard linguistic constraints, in particular grammatical agreement. We describe a series of experiments in which we took three CFG-based language models from non-trivial implemented systems, and in each case contrasted the performance of a version which included agreement constraints against a version which ignored them. Our findings suggest that inclusion of agreement constraints significantly improves performance in terms of both word error rate and semantic error rate."
